student_id,5th_score,10th_score,hours_studied,mother_edu,female
120,-0.4611,55.066,7.35,8.8,0
121,0.9012,69.129,11.85,11.4,0
122,2.0734,105.532,18.41,12,1
123,0.0958,70.933,11.19,7.5,0
124,0.8775,68.998,12.6,11.4,0
125,1.1377,82.091,14.48,11.8,0
126,-0.0975,71.919,14.43,11,0
127,-0.2404,62.746,8.78,9.2,0
128,-1.3272,26.483,7.2,9.5,1
129,0.4568,71.675,11.36,11,0
130,-0.5762,64.145,10.22,9.4,1
131,-0.0072,65.3,8.65,11,0
132,0.6576,78.677,13.96,10.4,0
133,0.9562,83.595,18.33,11.8,0
134,1.1301,89.861,15.78,13.4,1
135,0.0891,72.273,12.4,13.1,0
136,1.2718,95.245,14.17,15.3,1
137,-1.007,53.049,9.87,11.9,0
138,-0.0204,73.261,9.97,9.2,1
139,0.4275,69.552,12.54,8.7,0
140,-1.0854,54.854,7.69,9.8,0
141,-1.3813,45.997,8.79,9.9,1
142,-0.6437,64.141,11.12,9.8,1
143,-0.4877,61.819,10.2,14.1,1
144,-0.1077,69.561,12.88,9.5,1
145,-1.6622,38.82,10.43,12.5,1
146,2.2325,110.767,15.37,10.9,1
147,0.4435,80.425,16.74,7.8,0
148,-0.3208,67.979,10.52,7.9,0
149,0.2697,72.027,9.36,10.6,1
150,-0.3771,66.904,11.05,8.9,1
151,-0.8398,68.09,10.23,6.9,0
152,0.7164,78.586,12.61,10.6,1
153,0.8395,82.659,17.6,9.5,1
154,0.2212,70.148,15.56,9.9,0
155,0.4849,60.273,14.05,7.8,0
156,1.1342,76.334,18.87,13.5,0
157,0.5496,83.424,14.33,7.5,1
158,0.3103,74.651,10.81,13.3,0
159,-0.3214,65.452,7.96,15.2,1
160,0.224,78.133,12.78,6.1,0
161,0.3117,84.549,16.58,7.8,1
162,0.2981,72.055,15.1,10,1
163,0.5009,81.99,13.24,10.8,0
164,-0.805,53.611,11.42,5.3,0
165,0.5459,76.22,16.52,13.8,1
166,0.6664,80.427,10.64,9.2,1
167,-0.1531,68.981,15.63,11.4,1
168,-1.2429,55.43,12.16,10.2,1
169,-0.9288,52.275,9.91,12.7,1
170,0.5425,65.771,15.73,9.8,0
171,-1.5952,53.445,10.67,13.6,0
172,0.0988,77.951,14.16,10.3,0
173,-0.2438,70.696,13.3,9.4,1
174,-1.303,50.867,7.55,10.2,0
175,-1.0741,64.664,11.83,6.4,1
176,-0.8082,59.815,9.59,7.9,0
177,0.456,81.569,15.54,10.4,1
178,-1.224,47.673,12.8,8.5,1
179,-0.2787,75.697,15.65,7.6,1
180,-1.8133,20.995,8.63,6.3,0
181,-1.2386,44.456,9.26,11.8,0
182,-3.0577,-33.067,4.13,8.4,1
183,-1.2285,57.582,9.5,9.8,1
184,2.3838,88.092,15.44,7.9,1
185,-0.814,66.551,14.14,11.6,1
186,-1.4873,40.552,9.44,11.7,1
187,-0.1811,66.857,8.99,10.5,0
188,0.0285,67.961,7.53,11.3,0
189,-0.953,40.759,11.06,9.2,0
190,0.7798,76.912,13.31,13.4,1
191,-1.6456,31.17,9.15,9.1,0
192,-1.1193,46.368,10.75,8.2,0
193,-1.699,33.368,3.35,11.9,0
194,-0.2081,70.458,13.56,11.2,1
195,0.3052,74.015,12.33,9.4,0
196,1.6909,91.153,16.55,10.4,0
197,0.0117,67.331,7.7,8,1
198,0.0956,69.298,9,10.5,1
199,0.3565,82.532,12.77,10.5,0
200,2.7544,107.307,18.4,10,0
201,-0.5594,60.778,12.82,8.5,1
202,0.5482,79.838,7.64,7.4,0
203,0.7638,89.023,11.59,12.7,1
204,0.6359,76.31,15.29,9.3,0
205,0.6677,75.572,14.61,11.6,0
206,0.4729,74.109,14.34,6.7,0
207,0.5233,84.709,14.29,10.9,1
208,-1.2432,41.01,8.42,7.2,1
209,-1.111,60.518,6.63,8,0
210,1.3361,78.762,12.51,10.9,0
211,-0.575,68.49,8.09,9.5,0
212,-1.1175,41.817,8.83,11.9,0
213,0.8465,82.459,12.25,10.8,0
214,-0.7654,57.81,10.7,10.3,0
215,-1.1596,53.932,5.43,11.6,1
216,0.7526,71.795,14.05,10.8,1
217,-0.1437,74.745,9.56,6.1,1
218,0.444,77.418,12.8,8.3,1
219,0.1747,73.058,10.5,11.9,0
220,2.4404,91.328,15.41,10.9,1
221,0.8696,81.916,10.05,10.8,0
222,0.7357,74.591,16.99,9.4,1
223,1.5118,90.404,13.5,7.2,1
224,0.1516,75.881,11.21,13.1,1
225,1.1284,85.685,17.17,10.4,1
226,-0.1518,61.403,14.22,8.2,0
227,-1.4173,34.643,6.86,10.8,0
228,0.8435,85.626,15.4,13.5,1
229,-0.5552,59.797,7.73,12.2,1
230,-0.7703,65.677,12.63,8.5,1
231,-0.9285,49.656,8.42,12,0
232,-1.0256,58.658,7.63,8.9,0
233,3.4974,132.232,17.82,12.2,0
234,0.1323,66.85,10.42,11,0
235,1.1564,72.123,16.75,12.3,1
236,0.2868,79.566,6.8,13.3,1
237,-1.1058,61.931,8.41,8.8,0
238,1.1873,72.629,13.02,12.1,1
239,-0.5537,67.82,13.7,12.5,1
240,0.0688,81.145,16.99,10.7,0
241,0.0223,70.87,13.36,14.4,1
242,-0.4784,62.776,10.3,10.7,1
243,0.2796,69.891,10.42,10.6,1
244,-0.7821,73.271,12.99,8.6,1
245,-0.0826,53.361,10.29,11.3,0
246,-1.1864,55.014,14.65,9.8,1
247,-0.4645,63.228,10.58,10.7,0
248,0.2399,79.057,11.73,8.6,0
249,1.1289,86.606,14.57,12.7,1
250,-0.0037,72.583,11.7,8.1,0
251,1.4551,87.785,15.79,9.3,0
252,-0.3316,63.747,15.4,9.6,0
253,-1.4536,26.037,10.09,6.5,0
254,2.1737,93.724,14.99,10.3,1
255,-1.5796,57.545,6.89,8.3,0
256,-0.3857,67.139,14.79,9.5,1
257,0.9337,77.045,10.57,13.6,0
258,0.0984,74.332,13.04,9.7,0
259,-0.386,57.102,7.45,12.1,1
260,-0.4481,58.748,8.47,10.2,1
261,0.0472,65.987,10.97,10,0
262,-0.8578,57.42,14.51,13.4,0
263,-0.4395,63.49,10.54,10.8,1
264,-1.8195,14.552,10.55,8.1,0
265,1.5306,88.335,14.62,9.7,1
266,0.1287,76.263,18.63,8.3,1
267,-0.8149,56.496,9.56,12.9,0
268,0.5577,65.654,12.98,10.9,1
269,-0.3141,67.514,8.95,9.2,1
270,0.7284,70.33,13.46,8.7,0
271,-1.454,47.4,12.02,12.4,1
272,-1.11,45.724,11.21,9.2,0
273,0.8433,77.445,12.16,13.1,0
274,-0.046,65.128,8.26,11.4,1
275,0.703,72.693,15.91,6.9,0
276,0.3257,87.134,8.32,7.5,1
277,1.2068,82.188,15.4,13.5,1
278,0.9516,85.191,13.84,12.5,1
279,-0.2845,66.632,11.82,11.9,1
280,1.2413,73.698,10.7,12.7,1
281,2.823,90.072,15.75,11.1,1
282,0.7637,87.819,10.89,10.8,0
283,-0.4907,71.684,13.35,7.9,1
284,0.6599,78.162,15.54,11.7,0
285,1.6336,87.218,14.37,8.8,1
286,-0.5126,66.421,7.04,8.2,1
287,0.3049,83.413,13.26,9.9,0
288,0.9258,79.74,11.65,2,0
289,-0.1775,62.552,12.48,8.9,1
290,-0.7062,62.701,10.77,8,0
291,-0.5799,57.51,9.58,8.7,0
292,-0.2588,62.465,11.4,9.5,0
293,-0.2166,70.295,11.64,6.9,1
294,-0.0599,53.295,10.24,10.8,0
295,1.1777,80.431,17.19,14.1,1
296,-0.8333,59.403,9.61,11.5,1
297,-0.3953,62.335,16.52,9.1,1
298,1.0307,87.075,13.11,13.2,0
299,-0.1752,72.111,11.07,10.9,1
300,0.009,70.677,18.71,10.5,0
301,1.1671,76.359,16.25,10,0
302,1.5718,79.496,14.56,10.6,1
303,-0.0198,70.828,8.92,10.8,0
304,0.0956,76.986,13.31,10.5,0
305,0.3154,82.601,12.31,7.7,0
306,0.1036,68.524,9.12,11,1
307,0.7514,75.141,12.29,10.1,1
308,0.4909,79.172,9.02,8.8,0
309,-1.6913,53.676,9.84,9.6,1
310,-2.1302,24.356,2.81,10.5,1
311,-0.3276,64.998,10.45,8.4,0
312,-1.3407,24.659,7.19,10.8,0
313,0.7679,76.176,12.24,14.7,0
314,-0.2447,68.712,10.59,12,1
315,0.7278,60.926,16.58,8.5,0
316,-0.8505,63.451,9.63,10,0
317,-1.1435,54.909,9.31,8.8,1
318,-0.0215,64.6,14.2,11.3,0
319,0.0035,69.852,12.06,8.4,1
320,1.8582,90.532,15.88,10,0
321,-0.7503,71.528,14.55,7.5,1
322,1.5808,73.928,14.13,9,0
323,-1.0719,49.075,12.28,9.1,1
324,-0.6745,58.97,9.32,10.7,1
325,0.2477,91.403,13,11,1
326,0.8398,85.598,12.64,9.5,0
327,0.1686,65.526,13.74,10.7,1
328,0.632,72.51,18.1,8.8,0
329,-0.5752,58.956,8.16,13.1,0
330,0.2317,80.871,14.13,9.9,1
331,0.9179,86.003,13.2,11.1,1
332,-0.1561,69.086,7.76,11.1,1
333,-0.1116,57.875,11.01,5.9,1
334,1.989,106.926,15.77,11.7,1
335,0.586,80.327,13.65,9.3,1
336,0.813,73.87,11.21,11.3,0
337,-0.464,59.709,14.85,6.1,1
338,-0.6994,52.222,14.34,8.4,1
339,0.808,82.643,13.32,8.2,0
340,1.5648,90.602,16.71,11.5,1
341,0.1492,74.113,12.51,10.5,0
342,0.615,73.486,11.65,10.5,0
343,1.3637,84.994,17.64,12.1,0
344,-1.0581,48.499,9.02,10.6,0
345,-0.5994,67.27,10.63,11.9,0
346,0.0669,70.577,12.71,10.1,0
347,-1.2221,38.654,10.85,8.2,1
348,0.5985,85.968,13.99,7.9,1
349,-0.7993,53.67,6.03,10.6,1
350,-0.0775,63.005,14.29,10.7,1
351,1.1453,87.3,18.69,10.2,0
352,1.9345,92.469,19.04,11.9,0
353,-2.1216,9.123,5.64,8.3,1
354,0.1524,78.94,14.11,7.2,1
355,-0.9438,55.482,14.24,3.9,1
356,0.0732,66.573,10.6,11.7,1
357,-1.3087,39.81,9.93,12,0
358,-0.1078,68.126,6.95,8.1,0
359,-1.046,61.295,8.84,11.5,0
360,0.4184,68.867,13.66,7.6,1
361,-0.4751,56.429,11.44,9.6,1
362,-0.3047,66.837,8.2,9.1,0
363,0.4215,81.27,14.01,9.4,1
364,-0.8804,60.35,9.47,7.3,1
365,-0.1551,73.127,13.73,11.7,0
366,2.0298,87.303,15.87,8.3,0
367,0.1114,77.177,16.12,12.7,1
368,0.2204,65.615,16.54,11.5,1
369,-1.0918,51.685,5.77,12.3,1
370,-0.4718,61.86,15.5,10.5,0
371,0.384,75.622,12.69,9.7,0
372,0.7784,74.785,8.34,10.7,1
373,-0.1013,66.774,8.9,5.7,1
374,0.6098,77.727,17.29,10.4,0
375,-0.3029,71.513,13.94,10.9,0
376,0.0221,75.145,11.91,10.3,1
377,0.1024,70.5,10.63,13.6,1
378,0.8238,85.09,14.97,9.5,0
379,-0.0721,56.661,8.97,11.5,1
380,-0.4311,62.098,11.75,9.9,1
381,-0.152,67.367,13.18,8.7,1
382,-0.5589,76.325,11.6,9.5,1
383,0.1416,77.316,10.83,13.6,0
384,-1.1048,47.052,11.54,10.3,0
385,-0.6077,69.529,8.99,6.9,1
386,-0.6252,66.54,12.33,10.3,0
387,-0.6973,60.503,14.29,11.3,0
388,-0.0566,62.036,12.97,7,1
389,0.7112,93.385,14.31,12.5,0
390,-1.5465,50.724,10.35,11,0
391,-1.7579,33.941,10.12,6.5,0
392,0.4425,75.378,12.46,9.3,1
393,1.0042,88.002,15.72,8.5,1
394,2.3931,107.011,14.87,11,1
395,-0.9158,60.623,9.59,9.1,0
396,0.6841,72.016,12.2,11.3,1
397,1.6173,83.588,15.72,9.8,0
398,0.5953,77.929,11.31,6.8,1
399,-0.0071,62.991,11.95,8.2,0
400,-0.3655,62.721,7.57,8.9,1
401,0.198,76.765,10.68,10.8,0
402,-0.0032,59.387,11.74,12.1,0
403,-0.929,64.435,4.6,8.6,1
404,-1.3697,42.655,12.29,10,1
405,-0.0596,63.793,9.93,9.6,0
406,-0.7697,64.95,8.59,6.2,0
407,0.5599,67.412,17.77,8.6,0
408,0.6003,63.644,13.09,9.2,0
409,-0.4414,59.104,13.86,10.2,1
410,-0.3015,68.696,8.36,11.9,0
411,0.4153,74.321,9.85,12.1,0
412,-0.0752,59.134,13.25,11.8,1
413,-0.6656,57.499,9.27,12.5,1
414,-0.4041,62.375,10.63,11.9,1
415,0.1496,73.479,12.53,11.9,0
416,0.0506,76.869,13.44,10.6,1
417,1.9095,83.245,13.79,9.5,0
418,1.019,85.531,12.7,12.1,1
419,-0.2282,67.245,13.69,9.6,0
420,0.425,68.928,15.28,8.6,1
421,-0.6225,58.962,12.29,9.9,0
422,-2.7413,3.167,6.98,7.9,0
423,1.1846,78.663,14.12,13.4,0
424,1.4859,101.527,16.2,14.2,0
425,1.9093,95.344,13.99,9,0
426,0.2547,81.516,15.82,10.2,1
427,0.0439,68.597,14.51,8.8,0
428,1.2845,73.249,16.88,12.4,1
429,-0.9303,41.126,9.18,11.8,0
430,-1.0284,54.748,10.03,8.9,1
431,1.2022,80.917,13.57,9.2,1
432,-1.2346,53.895,11.78,10.4,1
433,-0.031,73.224,14.16,8.9,1
434,-1.5471,47.945,12.28,7.5,1
435,0.3934,76.299,12.13,7,1
436,-0.9839,64.031,6.01,8.5,0
437,0.3833,75.37,15.43,9.1,1
438,-0.2806,65.404,14.6,9,1
439,-0.2961,71.087,11.28,10.5,0
440,0.8164,70.532,10.69,7.5,0
441,-1.564,44,7.29,7.4,0
442,-0.9455,54.739,13.71,10.7,0
443,0.0528,68.678,12.17,10.8,1
444,0.7317,73.599,9.95,9.5,1
445,-1.0269,57.216,5.77,6.8,1
446,0.9544,89.677,14.11,12.4,1
447,-0.0965,67.015,13.78,9.8,0
448,-0.2409,63.66,15.45,10.3,1
449,0.3258,80.047,10.94,6.2,1
450,-0.1951,65.38,12.86,6.1,1
451,1.3827,82.452,11.97,10.3,0
452,1.3015,93.556,18.14,7.5,1
453,-0.1271,64.928,9.73,8.4,1
454,-1.3799,52.302,13.4,7.3,0
455,1.3729,81.396,12.87,10.2,0
456,-1.2159,46.288,8.2,10.8,1
457,-1.4048,40.179,9.89,7.8,1
458,-1.4753,52.537,10.45,12.9,0
459,-0.0193,63.783,11.04,6.7,0
460,-0.6339,57.905,10.06,9.5,1
461,-0.9714,60.351,12.15,11.9,1
462,-0.0786,66.333,14.21,10.4,1
463,-0.0535,69.446,12.13,10.8,1
464,-1.738,47.056,9.28,7.5,1
465,0.6549,81.927,15.38,13.5,1
466,0.5699,82.187,11.32,8.5,0
467,-0.1125,70.762,11.55,7.4,1
468,-1.544,32.903,2.42,10.8,0
469,-1.4743,44.534,8.21,8.6,1
470,-0.672,59.04,8.83,8.3,0
471,-0.1281,59.229,14.18,6.9,0
472,-0.4903,65.17,12.38,9.3,0
473,-0.0159,65.978,6.87,11.2,1
474,-0.4845,68.767,12.1,10.4,0
475,0.2401,74.324,10.97,9.2,0
476,-0.9275,48.123,10.63,11.7,0
477,1.0149,67.991,14.23,13.6,1
478,0.6611,76.466,12.21,10.2,0
479,-0.6887,68.077,12.65,10.9,1
480,-0.3907,61.902,13.24,7.1,0
481,0.6392,78.716,11.2,9.3,0
482,0.6611,86.119,14.45,13,0
483,-0.1082,70.533,13.37,10.1,0
484,1.0478,72.261,10.95,9.8,1
485,1.8407,78.039,14.01,12,0
486,-0.1265,64.125,11.41,10.7,1
487,0.928,88.947,20.16,12.2,0
488,-1.297,38.158,13.08,9.1,0
489,-0.1091,63.284,14.19,10.8,0
490,1.2764,67.83,12.78,9.7,0
491,0.8242,81.025,14.04,11.6,1
492,1.2524,87.03,12.65,11.2,0
493,-0.0651,72.003,14.42,7.6,1
494,0.8587,72.37,10.56,10.8,1
495,-2.3197,17.593,7.26,8.6,0
496,-0.5044,56.805,11.7,12.4,1
497,0.1321,67.688,9.26,8.6,1
498,0.4062,66.258,13.58,10.2,1
499,-1.4044,61.002,11.4,11,1
500,-0.5067,67.971,10.53,11.8,0
501,0.2975,78.992,8.03,8.9,0
502,0.7413,81.196,10.88,7,1
503,0.6135,86.827,10.17,11.1,0
504,2.2612,96.912,15.5,9.5,0
505,0.8731,74.372,13.38,11.4,1
506,-0.9813,55.056,11.8,9.5,0
507,0.3466,75.106,9.19,10.9,1
508,0.3009,73.926,13.73,9.5,0
509,0.4839,79.422,10.4,11.5,0
510,-1.2169,52.586,7.94,13.6,0
511,0.7196,85.581,8.46,10.1,1
512,0.332,84.259,15.57,9.7,1
513,1.0518,70.525,16.53,10.2,0
514,-0.3718,69.02,10.69,12.3,0
515,0.2601,79.035,14.92,11.9,1
516,0.8613,80.939,11.86,9.2,0
517,-1.6768,36.307,4.44,10.7,0
518,-0.181,76.441,15.93,7.8,1
519,-0.5276,59.191,9.06,5.9,0
520,-1.4949,23.744,4.61,8.9,1
521,-1.1185,51.71,13.08,12.9,0
522,-0.0548,72.098,12.58,8.9,0
523,0.0126,77.4,13.14,9.4,0
524,-0.1554,63.136,10.48,9.6,0
525,-0.9561,58.82,10.44,9.6,0
526,1.2292,85.815,13.67,12,1
527,1.1212,92.905,14.57,15.6,0
528,0.2413,73.082,15.72,10.5,1
529,-1.0386,59.121,14.19,10.2,1
530,-1.6135,43.846,13.11,11.7,1
531,1.9032,79.158,14.98,9.5,0
532,0.2952,74.259,12.79,10.5,1
533,-1.0036,43.738,11.39,10.8,1
534,0.4315,79.2,15.21,10.5,0
535,0.721,87.026,12.13,10.8,0
536,0.0577,81.212,8.84,8.3,0
537,1.2979,88.64,14.95,9.9,1
538,-0.1281,52.945,10.25,6.7,1
539,1.301,97.438,13.89,11.9,0
540,0.499,86.142,15.79,12.6,1
541,-1.5053,53.319,10.54,12.9,1
542,-0.6076,66.936,10.01,9.7,0
543,0.6819,83.966,13.43,9.6,1
544,0.233,75.38,12.61,9.5,1
545,-0.6889,60.954,10,8.1,1
546,-0.1443,65.937,14.39,10.3,1
547,-1.2,53.171,14.45,7.4,0
548,0.2316,78.443,13.74,10.3,1
549,0.9895,79.346,14.72,12.8,1
550,-0.6074,66.923,9.23,12.7,1
551,-0.3544,73.36,9.89,6.3,1
552,-0.3598,67.042,9.32,10.5,1
553,0.4649,72.649,10.4,9.8,1
554,0.7338,76.714,11.73,12.3,0
555,0.9794,69.027,11.63,12.9,0
556,-0.5119,62.228,14,8,0
557,-0.0091,71.775,10.7,9.4,1
558,-0.2744,73.442,12.62,10.3,1
559,-1.4242,62.649,15.07,8.7,1
560,-0.6135,65.612,13.32,11.7,1
561,1.4433,80.057,14.6,14.1,0
562,0.3898,69.875,9.34,9.6,0
563,-2.4921,6.75,7.18,12.1,0
564,0.6715,71.259,17.1,13.9,1
565,-0.2002,62.647,13.78,8.9,0
566,0.3056,86.819,13.35,11.4,1
567,2.8256,112.378,21.76,8.8,1
568,-0.1429,63.664,9.29,6.1,1
569,-0.092,68.765,11.59,8.3,1
570,1.0077,84.161,12.98,11.5,1
571,-0.7863,59.058,7.75,12.4,1
572,-2.0052,17.142,8.26,10.1,1
573,0.2972,74.763,11.36,5.6,1
574,-0.0482,61.843,12.26,9.4,0
575,0.8586,77.616,13.8,7.1,0
576,0.5233,70.365,15.62,9.9,1
577,0.4944,78.285,13.11,9.1,1
578,0.8723,73.972,12.59,11.8,1
579,0.3749,73.197,11.91,11.7,0
580,-0.8752,52.821,12.72,11.6,1
581,1.3156,80.875,16.52,13.7,0
582,-1.2586,33.884,10.78,7.4,0
583,0.0098,78.776,8.84,6.9,1
584,-0.4838,69.276,5.52,8.7,1
585,-0.963,46.501,10.09,9.2,1
586,-0.456,67.273,10.66,11,1
587,2.4911,89.098,13.4,10.4,0
588,0.1733,74.148,12.3,12.5,0
589,0.4752,67.428,10.98,10.3,0
590,-0.4365,65.104,14.76,11.1,0
591,-0.503,63.439,12.55,10.3,1
592,-0.0404,66.548,13.87,15.1,1
593,-0.845,62.524,7.29,10,0
594,-0.2881,72.178,9.5,8.2,0
595,-0.1697,65.207,14.02,11.5,0
596,0.7372,77.218,11.26,10.9,1
597,1.3693,76.156,17.31,15.6,1
598,1.8929,82.305,14.6,11.4,1
599,-1.1867,44.98,5.88,9.6,1
600,1.0885,73.895,15.25,9.5,0
601,-0.1516,68.873,9.27,11.2,1
602,2.0093,85.024,16.99,8,1
603,1.1832,90.417,13.77,8.4,0
604,-0.1646,67.926,15.41,10.7,0
605,-1.0927,48.626,5.94,13,0
606,-0.2384,71.094,12.67,7,1
607,1.4207,72.409,14.92,10.5,1
608,2.2125,106.857,17.13,12.1,0
609,0.577,76.036,15.63,6.8,0
610,1.1553,73.372,11.81,11.4,0
611,1.8883,101.788,17.83,12.4,0
612,0.8805,75.782,14.71,10.7,1
613,0.5876,78.665,14.47,14.5,0
614,1.8966,83.772,20.5,12.5,0
615,-0.0802,69.019,9.72,10.9,1
616,-0.0666,65.998,12.67,3.6,1
617,-0.5362,59.325,9.32,11.8,1
618,2.0234,87.879,17.17,6.3,0
619,-0.0366,62.682,13.73,11.3,0
620,-0.8403,63.908,7.72,12,1
621,-0.9585,45.218,12.33,8.5,0
622,0.9811,72.059,14.54,9.8,1
623,0.1455,76.382,13.54,8.6,1
624,-0.4737,72.948,9.46,12,1
625,-0.2562,67.896,12.66,10.9,0
626,0.0495,74.826,9.81,11.2,1
627,-0.6784,58.722,13.16,10.3,0
628,-0.4669,58.82,7.59,8.9,1
629,-0.3813,64.773,12.93,12.2,1
630,0.0971,76.155,12.85,7.6,1
631,0.4119,78.532,10.53,12.9,1
632,-1.5234,34.113,6.07,8.1,0
633,0.7333,68.163,11.65,9.9,0
634,1.3668,69.011,10.52,9.2,1
635,0.0137,78.263,10.67,8,1
636,0.0632,71.739,15.83,12.2,0
637,0.6967,78.839,15.09,6.4,1
638,-0.2597,56.916,6.95,11.3,1
639,0.884,83.17,16.71,10.8,1
640,0.6157,69.899,15.9,6.3,0
641,0.6224,82.594,12.52,10.8,1
642,-0.8706,70.712,12.27,10.8,0
643,-0.2098,67.228,14.75,10.6,0
644,1.2805,84.489,16.51,9.3,1
645,-0.7402,55.354,7.86,9,0
646,0.3735,83.346,10.21,9.3,0
647,0.2762,75.219,9.49,11.4,0
648,0.9904,75.854,12.57,7.7,0
649,0.5112,67.259,11.97,9.6,1
650,1.0948,85.351,15.34,11.1,1
651,-1.0595,65.524,11.75,7.2,0
652,0.0077,71.725,12.73,9.2,1
653,0.8793,72.821,14.01,7.2,1
654,-0.9563,48.096,8.76,9.3,0
655,-0.6055,60.999,6.05,7.4,1
656,-1.6303,43.573,9.53,7.5,0
657,-0.3088,58.619,7.21,11.5,0
658,0.0537,67.174,14.92,9.3,1
