region_id,sector,year,treatment,population,unemployment_rate,gdp_per_capita,exports_per_capita,fdi_inflow,avg_wage
7,Manufacturing,2007,0,53687,0.074,19444,5944,202,14.79
7,Manufacturing,2008,0,47841,0.064,21054,6224,235,15.63
7,Manufacturing,2009,0,46715,0.086,20671,5923,155,18.61
7,Manufacturing,2010,1,56627,0.08,20914,7403,326,20.79
7,Manufacturing,2011,1,54384,0.075,23581,7219,265,18.14
7,Manufacturing,2012,1,51145,0.069,24044,7105,361,18.43
7,Manufacturing,2013,1,52746,0.119,21805,7130,201,20.18
7,Manufacturing,2014,1,50964,0.083,25653,8365,286,20.34
7,Manufacturing,2015,1,38456,0.102,23659,6720,262,21.44
8,Services,2006,0,53503,0.117,19504,6409,316,15.95
8,Services,2007,0,52360,0.094,20452,6344,134,15.36
8,Services,2008,0,61898,0.076,23586,7124,242,14.46
8,Services,2009,0,49228,0.069,21055,6668,173,14.19
8,Services,2010,1,51285,0.092,24522,6763,158,17.48
8,Services,2011,1,61743,0.057,21692,7308,236,18.94
8,Services,2012,1,52842,0.098,22579,5856,244,20.22
8,Services,2013,1,28686,0.109,22788,6007,227,23.49
8,Services,2014,1,57921,0.089,23241,5874,248,22.5
8,Services,2015,1,44937,0.099,22534,7061,184,21.74
9,Manufacturing,2006,0,37470,0.06,19541,5918,152,14.05
9,Manufacturing,2007,0,49686,0.095,21971,6646,274,15.35
9,Manufacturing,2008,0,68095,0.102,19943,5669,188,18.18
9,Manufacturing,2009,0,44231,0.088,21353,7069,152,15.81
9,Manufacturing,2010,1,44384,0.101,25336,7940,295,17.16
9,Manufacturing,2011,1,61159,0.063,22531,6429,235,20.11
9,Manufacturing,2012,1,62255,0.059,21633,6606,247,20.13
9,Manufacturing,2013,1,45723,0.073,21570,6696,222,21.31
9,Manufacturing,2014,1,57243,0.09,25235,7944,317,18.97
9,Manufacturing,2015,1,59733,0.095,23539,7955,214,21.05
10,Services,2006,0,48228,0.096,22413,7269,143,13.41
10,Services,2007,0,57870,0.063,20160,5519,98,11.9
10,Services,2008,0,44868,0.097,20824,6387,221,15.85
10,Services,2009,0,59657,0.089,21139,7162,184,17.01
10,Services,2010,0,52839,0.115,22936,6331,157,17.18
10,Services,2011,0,51976,0.128,22488,6743,233,14.73
10,Services,2012,0,54251,0.104,18680,5147,192,16.08
10,Services,2013,0,50741,0.093,19976,5992,225,21.49
10,Services,2014,0,39767,0.076,23188,7936,174,19.29
10,Services,2015,0,47823,0.055,21215,6762,190,18.65
11,Services,2006,0,46138,0.038,18088,5273,180,11.77
11,Services,2007,0,55245,0.089,21671,6556,254,14.71
11,Services,2008,0,40157,0.055,23966,6950,144,15.96
11,Services,2009,0,59139,0.086,20955,6718,203,14.2
11,Services,2010,1,44201,0.093,20168,5812,284,17.31
11,Services,2011,1,60300,0.067,21351,7077,181,13.92
11,Services,2012,1,44492,0.081,22864,7311,248,17.28
11,Services,2013,1,48174,0.064,22063,6996,248,20.18
11,Services,2014,1,64862,0.09,21662,6135,253,17.48
11,Services,2015,1,60636,0.073,21903,6638,336,21.89
12,Agriculture,2006,0,51200,0.072,19829,6104,233,13.1
12,Agriculture,2007,0,45431,0.103,22838,7727,326,18.24
12,Agriculture,2008,0,33632,0.108,19223,6065,149,16.63
12,Agriculture,2009,0,54939,0.1,18868,5985,223,14.81
12,Agriculture,2010,0,66421,0.096,20323,5946,237,14.63
12,Agriculture,2011,0,39909,0.098,19892,7320,244,19.4
12,Agriculture,2012,0,59941,0.095,20443,5798,243,16.8
12,Agriculture,2013,0,41663,0.111,24489,6750,231,18.89
12,Agriculture,2014,0,57692,0.1,23205,7115,259,19.95
12,Agriculture,2015,0,48881,0.057,23268,6710,154,18.18
13,Manufacturing,2006,0,63448,0.101,22596,6990,176,14.36
13,Manufacturing,2007,0,48284,0.084,20058,6041,212,15.52
13,Manufacturing,2008,0,35955,0.085,21823,6784,203,12.4
13,Manufacturing,2009,0,69960,0.055,20216,5880,262,16.49
13,Manufacturing,2010,1,49971,0.072,21793,6754,258,18.56
13,Manufacturing,2011,1,62917,0.077,25333,7162,207,23.96
13,Manufacturing,2012,1,51277,0.102,21044,6348,238,19.34
13,Manufacturing,2013,1,59467,0.084,23311,7405,258,24.8
13,Manufacturing,2014,1,58437,0.084,24981,8022,243,20.56
13,Manufacturing,2015,1,61076,0.087,22105,6618,223,23.48
14,Services,2006,0,53147,0.04,19406,5899,187,15.24
14,Services,2007,0,37825,0.122,22161,6555,296,13.84
14,Services,2008,0,55023,0.068,22878,7239,275,16.54
14,Services,2009,0,33961,0.075,21242,6132,155,19.12
14,Services,2010,1,59494,0.059,20016,6367,228,14.74
14,Services,2011,1,38937,0.081,23921,6409,258,23.93
14,Services,2012,1,35476,0.056,21559,5864,348,18.98
14,Services,2013,1,50068,0.087,18411,5013,328,22.29
14,Services,2014,1,49044,0.066,22651,7271,260,22.5
14,Services,2015,1,44049,0.087,25923,7332,171,23.4
15,Agriculture,2006,0,52469,0.056,18675,5503,146,17.39
15,Agriculture,2007,0,63771,0.097,19187,5974,128,16.88
15,Agriculture,2008,0,53240,0.077,21481,6165,212,20.87
15,Agriculture,2009,0,64977,0.086,20060,5979,166,15.98
15,Agriculture,2010,0,41648,0.093,21840,5900,209,17.07
15,Agriculture,2011,0,52468,0.098,22177,7230,273,19.51
15,Agriculture,2012,0,50513,0.083,22305,6943,193,21.43
15,Agriculture,2013,0,50835,0.109,22558,6682,158,17.49
15,Agriculture,2014,0,61977,0.063,22740,6909,103,17.05
15,Agriculture,2015,0,58190,0.102,24219,6954,226,19.09
16,Agriculture,2006,0,37138,0.093,18075,5064,207,10.95
16,Agriculture,2007,0,37903,0.057,20180,6747,220,16.11
16,Agriculture,2008,0,54171,0.127,18642,5934,203,18.03
16,Agriculture,2009,0,57334,0.108,21126,6331,199,18.27
16,Agriculture,2010,0,45078,0.093,20667,6207,197,18.3
16,Agriculture,2011,0,48371,0.084,22509,6035,223,18.32
16,Agriculture,2012,0,60786,0.094,20646,7148,254,19.26
16,Agriculture,2013,0,51161,0.114,20671,6051,189,17.53
16,Agriculture,2014,0,64987,0.089,21184,7038,220,17.39
16,Agriculture,2015,0,49022,0.117,22633,6655,193,23.94
17,Services,2006,0,50129,0.076,19340,4959,146,13.93
17,Services,2007,0,47191,0.07,18125,6471,283,11.7
17,Services,2008,0,65581,0.071,22245,7523,181,17.56
17,Services,2009,0,66742,0.084,21278,4958,191,16.41
17,Services,2010,0,52395,0.073,20892,6456,211,20.23
17,Services,2011,0,33201,0.065,21033,7286,231,18.6
17,Services,2012,0,41647,0.101,23320,7128,195,14.69
17,Services,2013,0,44027,0.144,24395,6504,195,16.69
17,Services,2014,0,48286,0.077,24209,7371,249,19.82
17,Services,2015,0,47830,0.09,21836,6259,171,21.48
18,Services,2006,0,48707,0.1,20269,5052,146,15.75
18,Services,2007,0,50132,0.075,20586,6459,227,12.92
18,Services,2008,0,41407,0.106,21213,6601,172,16.17
18,Services,2009,0,57071,0.075,18353,5908,175,15.14
18,Services,2010,0,60150,0.077,21231,7297,145,18.81
18,Services,2011,0,51243,0.083,21045,5389,189,12.54
18,Services,2012,0,52178,0.091,22585,6692,207,20.02
18,Services,2013,0,48452,0.072,20976,6478,159,17.03
18,Services,2014,0,63646,0.076,23359,7061,178,23.5
18,Services,2015,0,57655,0.1,22767,7591,240,19.44
19,Manufacturing,2006,0,44509,0.075,21048,6767,153,16.04
19,Manufacturing,2007,0,39775,0.058,21458,6075,265,15.65
19,Manufacturing,2008,0,41066,0.058,20409,5645,243,16.76
19,Manufacturing,2009,0,53560,0.109,21741,6703,172,17.39
19,Manufacturing,2010,1,48915,0.087,22329,6736,257,17.65
19,Manufacturing,2011,1,43377,0.093,21824,6940,232,18.02
19,Manufacturing,2012,1,55664,0.071,21987,6903,184,19.05
19,Manufacturing,2013,1,48822,0.057,23885,7598,219,20.51
19,Manufacturing,2014,1,51583,0.086,24431,7662,193,20.81
19,Manufacturing,2015,1,50748,0.112,23490,7027,230,20.33
20,Manufacturing,2006,0,50325,0.062,19286,7229,177,17.17
20,Manufacturing,2007,0,46247,0.044,19403,6267,184,15.86
20,Manufacturing,2008,0,53383,0.089,22434,6797,242,18.51
20,Manufacturing,2009,0,56540,0.054,20513,6179,146,17.34
20,Manufacturing,2010,0,39732,0.122,18630,5620,55,18.45
20,Manufacturing,2011,0,43330,0.095,18749,5267,248,17.66
20,Manufacturing,2012,0,45670,0.106,21258,7063,235,20.98
20,Manufacturing,2013,0,46082,0.149,20372,5130,282,18.89
20,Manufacturing,2014,0,43562,0.145,21396,6410,228,16.95
20,Manufacturing,2015,0,56831,0.081,21302,7135,273,19.54
21,Manufacturing,2006,0,34184,0.065,20674,6237,163,17.71
21,Manufacturing,2007,0,55344,0.074,19459,5346,187,12.22
21,Manufacturing,2008,0,62544,0.065,20727,5253,220,17.68
21,Manufacturing,2009,0,66472,0.102,21216,6139,175,17.11
21,Manufacturing,2010,1,44397,0.058,22130,6427,285,15.92
21,Manufacturing,2011,1,43667,0.081,21094,6130,186,17.35
21,Manufacturing,2012,1,60203,0.107,22461,7366,240,17.9
21,Manufacturing,2013,1,61893,0.142,27605,9281,166,22.43
21,Manufacturing,2014,1,59511,0.071,24696,7717,164,19.04
21,Manufacturing,2015,1,43155,0.127,27218,8833,365,21.43
22,Agriculture,2006,0,49944,0.076,21361,5484,112,14.21
22,Agriculture,2007,0,43776,0.041,22652,8063,262,15.18
22,Agriculture,2008,0,55035,0.087,20198,5295,180,16.66
22,Agriculture,2009,0,45410,0.096,21876,6312,184,13.21
22,Agriculture,2010,0,54077,0.077,20416,6952,159,20.1
22,Agriculture,2011,0,60539,0.096,22531,6769,199,21.72
22,Agriculture,2012,0,53216,0.098,21079,6398,163,16.99
22,Agriculture,2013,0,53342,0.092,21671,6055,218,18.55
22,Agriculture,2014,0,49094,0.105,22473,6690,257,21.23
22,Agriculture,2015,0,57603,0.093,21992,7321,280,22.94
23,Manufacturing,2006,0,55621,0.051,21257,6919,159,16.19
23,Manufacturing,2007,0,50788,0.075,19492,5734,181,15.21
23,Manufacturing,2008,0,44209,0.065,19536,5579,119,17.53
23,Manufacturing,2009,0,63589,0.075,20562,6669,280,15.71
23,Manufacturing,2010,1,41425,0.088,23169,7315,194,18.88
23,Manufacturing,2011,1,42998,0.088,22451,7247,283,19.48
23,Manufacturing,2012,1,57704,0.093,23152,6177,274,21.86
23,Manufacturing,2013,1,54907,0.095,22230,6908,216,16.62
23,Manufacturing,2014,1,53137,0.12,20855,7070,263,16.45
23,Manufacturing,2015,1,45866,0.102,25267,7521,221,23.67
24,Services,2006,0,46320,0.062,20010,6007,181,18.11
24,Services,2007,0,57299,0.056,18741,5238,249,17.54
24,Services,2008,0,37474,0.113,20247,6404,261,14.82
24,Services,2009,0,50881,0.088,18552,5335,200,18.34
24,Services,2010,1,52463,0.079,22949,7209,246,16.59
24,Services,2011,1,36086,0.072,23215,6373,194,20.39
24,Services,2012,1,59101,0.105,20317,6007,288,17.19
24,Services,2013,1,43060,0.08,21875,7141,256,19.05
24,Services,2014,1,44482,0.09,23765,6804,241,19.85
24,Services,2015,1,40882,0.093,23933,7338,290,21.24
25,Services,2006,0,50433,0.048,19442,6193,178,14.38
25,Services,2007,0,47749,0.13,19334,5014,122,15.95
25,Services,2008,0,44665,0.078,21422,6774,165,20
25,Services,2009,0,63182,0.119,21602,6586,211,18.46
25,Services,2010,0,36587,0.113,22508,6944,247,17.8
25,Services,2011,0,45351,0.098,22495,6358,188,17.27
25,Services,2012,0,45947,0.122,22377,6587,269,17.35
25,Services,2013,0,24864,0.061,21921,7086,247,17.3
25,Services,2014,0,52878,0.086,20946,6859,264,17.34
25,Services,2015,0,53586,0.074,23195,7286,227,22.35
26,Services,2006,0,51939,0.087,19694,5487,124,15.66
26,Services,2007,0,33220,0.081,20113,5957,291,11.8
26,Services,2008,0,37444,0.037,19749,5847,279,12.51
26,Services,2009,0,34199,0.084,22673,6761,231,14.35
26,Services,2010,1,48517,0.07,25879,7311,184,18.04
26,Services,2011,1,45262,0.069,20264,6054,185,24.08
26,Services,2012,1,51449,0.107,20620,5742,244,17.13
26,Services,2013,1,53206,0.054,26074,7748,171,23.05
26,Services,2014,1,40199,0.073,24252,6982,220,17.21
26,Services,2015,1,56364,0.139,24884,7113,183,18.82
27,Services,2006,0,42551,0.071,18106,5590,223,12.07
27,Services,2007,0,50656,0.074,21158,6225,269,12.91
27,Services,2008,0,58904,0.09,24169,7477,247,14.68
27,Services,2009,0,38814,0.095,21241,6448,107,17.6
27,Services,2010,1,53768,0.109,21553,6053,209,17.78
27,Services,2011,1,62514,0.072,18518,5610,314,18.71
27,Services,2012,1,44417,0.12,25485,7138,182,21.9
27,Services,2013,1,43500,0.07,21602,7143,254,19.63
27,Services,2014,1,44700,0.107,24735,7916,191,17.47
27,Services,2015,1,54180,0.1,24626,8242,238,23.77
28,Agriculture,2006,0,39530,0.088,20469,6534,296,15.1
28,Agriculture,2007,0,50687,0.076,19993,6621,191,16.37
28,Agriculture,2008,0,49138,0.088,22029,6844,297,16.22
28,Agriculture,2009,0,58229,0.055,21431,6663,165,19.21
28,Agriculture,2010,0,53906,0.076,22630,7724,147,18.67
28,Agriculture,2011,0,58574,0.066,21529,5984,260,20.52
28,Agriculture,2012,0,54882,0.128,20556,6802,102,18.1
28,Agriculture,2013,0,54807,0.115,21533,6465,237,15.81
28,Agriculture,2014,0,60443,0.107,24755,7430,243,21.14
28,Agriculture,2015,0,54468,0.085,22252,8370,185,21.07
29,Services,2006,0,58632,0.09,19713,6230,142,16.17
29,Services,2007,0,39524,0.103,20225,5776,114,15.15
29,Services,2008,0,53183,0.043,20549,6419,168,16.85
29,Services,2009,0,54510,0.09,20228,5750,169,16.36
29,Services,2010,0,51466,0.075,21966,5539,117,16.07
29,Services,2011,0,44547,0.105,16584,4799,199,19.94
29,Services,2012,0,52911,0.102,22137,7054,314,21.14
29,Services,2013,0,70256,0.105,21908,7349,134,16.62
29,Services,2014,0,56508,0.069,24242,7126,267,14.88
29,Services,2015,0,65827,0.1,22252,7202,123,16.92
30,Agriculture,2006,0,51178,0.075,18926,4611,195,11.01
30,Agriculture,2007,0,42686,0.084,19566,6066,286,13.98
30,Agriculture,2008,0,59269,0.048,20310,5591,193,13.84
30,Agriculture,2009,0,55082,0.061,21122,6418,204,13.27
30,Agriculture,2010,1,62141,0.081,23099,7541,232,18.67
30,Agriculture,2011,1,48766,0.094,21768,6918,220,20.41
30,Agriculture,2012,1,47431,0.094,23461,7078,261,21.96
30,Agriculture,2013,1,47939,0.082,22081,6613,259,20.55
30,Agriculture,2014,1,61116,0.091,19790,6137,308,21.73
30,Agriculture,2015,1,59288,0.061,22270,7326,236,19.66
31,Services,2006,0,72874,0.072,18682,5962,220,15.71
31,Services,2007,0,35828,0.066,23132,7249,73,13.32
31,Services,2008,0,52428,0.085,21645,6440,172,14.11
31,Services,2009,0,46478,0.111,22272,6870,105,16.7
31,Services,2010,0,48196,0.078,20843,6343,154,16.6
31,Services,2011,0,62928,0.083,20777,6015,230,15.84
31,Services,2012,0,55434,0.086,21458,6783,270,17.98
31,Services,2013,0,52975,0.068,21651,6963,239,18.17
31,Services,2014,0,55376,0.121,22988,7301,187,21
31,Services,2015,0,55058,0.097,22887,7566,171,21.36
32,Services,2006,0,47778,0.115,22119,6242,173,14.88
32,Services,2007,0,47959,0.091,21026,6327,273,16.19
32,Services,2008,0,63623,0.082,22091,7991,168,16.91
32,Services,2009,0,54993,0.065,21278,7098,162,16.4
32,Services,2010,0,56003,0.085,19529,5766,155,12.91
32,Services,2011,0,47204,0.077,19372,6254,208,20.51
32,Services,2012,0,55955,0.116,22233,6560,152,17.68
32,Services,2013,0,50785,0.109,22823,7337,213,19.66
32,Services,2014,0,50829,0.094,21534,6441,246,16.45
32,Services,2015,0,64762,0.089,21393,5950,188,22.84
33,Services,2006,0,41582,0.063,19732,6020,240,19.76
33,Services,2007,0,46903,0.094,20653,6788,241,14.47
33,Services,2008,0,39086,0.101,18995,5683,245,14.03
33,Services,2009,0,49951,0.079,24892,7507,142,16.24
33,Services,2010,0,45779,0.127,19069,5117,261,17.38
33,Services,2011,0,54005,0.12,24177,7801,151,16.82
33,Services,2012,0,56592,0.126,20388,5672,245,16.58
33,Services,2013,0,43528,0.099,22135,6523,131,15.75
33,Services,2014,0,51280,0.112,21484,7069,278,20.14
33,Services,2015,0,40787,0.097,25530,7136,226,17.17
34,Services,2006,0,58810,0.057,18751,5468,193,14.48
34,Services,2007,0,65265,0.073,20278,5544,158,15.44
34,Services,2008,0,38093,0.09,21532,6581,228,14.21
34,Services,2009,0,51512,0.044,20720,5864,250,17.99
34,Services,2010,1,53036,0.088,21852,6776,316,19.16
34,Services,2011,1,55462,0.086,20981,8013,282,19.32
34,Services,2012,1,54456,0.067,22259,6537,214,20.55
34,Services,2013,1,35234,0.074,22267,6759,282,17.45
34,Services,2014,1,63861,0.073,22945,6809,254,23.7
34,Services,2015,1,58171,0.062,22801,6127,283,21.6
35,Services,2006,0,57608,0.078,21617,6033,264,15.13
35,Services,2007,0,59909,0.045,18939,4687,261,16.85
35,Services,2008,0,49949,0.079,20655,5912,272,12.27
35,Services,2009,0,35283,0.12,20893,6160,262,16.13
35,Services,2010,1,52898,0.083,20288,5767,316,19.84
35,Services,2011,1,53297,0.093,23405,7870,214,21.61
35,Services,2012,1,51116,0.057,23535,6556,324,19.36
35,Services,2013,1,55466,0.078,22179,6788,273,20.78
35,Services,2014,1,45574,0.087,24932,6454,187,21.45
35,Services,2015,1,59563,0.05,22753,6701,156,18.1
36,Manufacturing,2006,0,33663,0.052,25245,8287,198,11.84
36,Manufacturing,2007,0,36195,0.053,19342,5116,143,12.77
36,Manufacturing,2008,0,46848,0.087,22525,5439,234,17.08
36,Manufacturing,2009,0,57500,0.081,20656,7109,134,14.01
36,Manufacturing,2010,1,57822,0.076,21133,6171,207,16.3
36,Manufacturing,2011,1,56996,0.114,21473,5984,257,22.36
36,Manufacturing,2012,1,51562,0.077,23854,7632,221,21.23
36,Manufacturing,2013,1,51913,0.063,23991,6783,302,19.34
36,Manufacturing,2014,1,53309,0.085,22462,5416,205,18.47
36,Manufacturing,2015,1,39937,0.052,24520,7202,134,22.05
37,Services,2006,0,50184,0.073,20602,6593,265,16.5
37,Services,2007,0,47457,0.051,20092,6192,211,12.68
37,Services,2008,0,52070,0.077,23459,7259,207,18.4
37,Services,2009,0,66626,0.107,20297,6203,229,15.05
37,Services,2010,0,61983,0.05,20336,5509,186,16.1
37,Services,2011,0,50211,0.102,20296,6239,100,17.95
37,Services,2012,0,56270,0.097,22478,6866,147,14.85
37,Services,2013,0,44694,0.094,19625,5312,137,18.47
37,Services,2014,0,57950,0.072,20111,5997,74,19.42
37,Services,2015,0,39975,0.077,20898,5899,277,19.58
38,Services,2006,0,52589,0.044,21474,6690,108,11.62
38,Services,2007,0,44344,0.071,22233,7362,196,14.32
38,Services,2008,0,58080,0.093,22881,6905,149,12.98
38,Services,2009,0,53666,0.065,20054,5541,150,16.63
38,Services,2010,1,49029,0.082,21368,6563,342,17.44
38,Services,2011,1,50888,0.106,21942,6730,237,15.94
38,Services,2012,1,57559,0.1,22200,6816,273,20.01
38,Services,2013,1,63053,0.113,24575,6163,271,23.28
38,Services,2014,1,39179,0.076,22764,6623,237,20.24
38,Services,2015,1,46588,0.114,22998,7023,266,18
39,Services,2006,0,57275,0.058,21516,6170,230,14.68
39,Services,2007,0,55324,0.055,19334,5386,311,17.55
39,Services,2008,0,56763,0.09,19781,6123,255,17.5
39,Services,2009,0,54230,0.096,18868,4843,214,16.82
39,Services,2010,0,32958,0.07,19500,6704,311,15.82
39,Services,2011,0,38883,0.092,19579,5980,104,17.86
39,Services,2012,0,50292,0.106,22575,6303,306,16.57
39,Services,2013,0,48248,0.102,21985,6880,234,16.68
39,Services,2014,0,43733,0.058,20135,6226,178,17.64
39,Services,2015,0,49459,0.112,22284,6871,197,19.93
40,Services,2006,0,39423,0.098,17530,4395,258,12.1
40,Services,2007,0,60502,0.076,19864,5588,291,12.71
40,Services,2008,0,67463,0.062,22495,7352,161,18.76
40,Services,2009,0,55225,0.083,21205,4919,184,12.44
40,Services,2010,1,45524,0.068,18835,5732,233,18.3
40,Services,2011,1,36874,0.046,24992,8247,324,21.14
40,Services,2012,1,63044,0.118,19758,5173,284,21.01
40,Services,2013,1,52053,0.088,24409,6559,223,18.11
40,Services,2014,1,60437,0.079,23941,7048,279,24.93
40,Services,2015,1,54203,0.055,21378,5720,293,20.32
41,Services,2006,0,46300,0.08,19773,6270,219,15.25
41,Services,2007,0,54749,0.068,20758,6112,162,12.97
41,Services,2008,0,48276,0.089,18456,5936,217,19.66
41,Services,2009,0,49235,0.087,19123,6050,232,21.09
41,Services,2010,1,50524,0.066,22461,6746,248,17.05
41,Services,2011,1,48561,0.1,21922,6555,289,18.67
41,Services,2012,1,39934,0.111,20884,5770,273,17.52
41,Services,2013,1,41830,0.067,23765,7161,231,24.17
41,Services,2014,1,56358,0.082,21964,6677,272,17.32
41,Services,2015,1,60960,0.091,23971,7558,249,18.54
42,Agriculture,2006,0,59752,0.063,19852,5231,290,14.43
42,Agriculture,2007,0,54986,0.074,21025,6483,275,13.11
42,Agriculture,2008,0,39797,0.091,20171,5857,165,16.39
42,Agriculture,2009,0,44427,0.065,20705,4890,145,16.86
42,Agriculture,2010,0,56521,0.082,20351,5613,209,16.06
42,Agriculture,2011,0,39340,0.112,23694,7875,241,17.34
42,Agriculture,2012,0,52965,0.072,18469,5025,59,17.63
42,Agriculture,2013,0,51219,0.129,21835,5667,173,18.35
42,Agriculture,2014,0,57283,0.103,23590,7140,219,16.81
42,Agriculture,2015,0,52461,0.109,23682,6631,252,21.16
43,Agriculture,2006,0,45803,0.081,19259,5969,162,13.13
43,Agriculture,2007,0,37488,0.107,19849,6367,74,16.16
43,Agriculture,2008,0,47368,0.076,25224,6034,308,17.6
43,Agriculture,2009,0,35427,0.105,22067,6718,165,13.72
43,Agriculture,2010,0,42975,0.078,23423,6832,223,20.24
43,Agriculture,2011,0,50699,0.093,22000,6930,185,19.71
43,Agriculture,2012,0,54336,0.085,20104,6643,199,18.27
43,Agriculture,2013,0,50530,0.089,20019,5782,252,17.04
43,Agriculture,2014,0,50199,0.072,22804,6909,210,18.58
43,Agriculture,2015,0,43269,0.112,22887,6884,283,14.49
44,Agriculture,2006,0,63888,0.095,19852,5859,147,14.1
44,Agriculture,2007,0,67510,0.074,20258,5783,155,18.45
44,Agriculture,2008,0,44930,0.13,18318,5053,213,17.53
44,Agriculture,2009,0,47059,0.087,21437,6555,171,18.37
44,Agriculture,2010,0,51794,0.06,20972,6654,172,15.57
44,Agriculture,2011,0,61005,0.121,23123,6885,207,19.26
44,Agriculture,2012,0,48270,0.053,24900,7166,204,17.66
44,Agriculture,2013,0,53730,0.086,24409,6915,170,19.54
44,Agriculture,2014,0,46046,0.113,18782,6369,227,16.44
44,Agriculture,2015,0,58999,0.101,22378,7585,142,17.87
45,Agriculture,2006,0,39778,0.103,17434,5246,87,16.6
45,Agriculture,2007,0,42369,0.062,22050,6937,192,12.81
45,Agriculture,2008,0,53192,0.103,18163,5820,233,19.46
45,Agriculture,2009,0,43180,0.088,21047,5720,170,16.79
45,Agriculture,2010,0,49398,0.086,22464,6905,132,16.32
45,Agriculture,2011,0,65952,0.105,20568,5887,156,18.74
45,Agriculture,2012,0,57528,0.094,21317,6724,145,19.04
45,Agriculture,2013,0,51302,0.108,19525,6280,215,17.93
45,Agriculture,2014,0,52358,0.067,22484,7529,251,18.82
45,Agriculture,2015,0,47030,0.075,24453,6683,186,19.82
46,Manufacturing,2006,0,58609,0.077,19791,5220,199,14.99
46,Manufacturing,2007,0,57836,0.112,18836,5455,197,14.26
46,Manufacturing,2008,0,51152,0.056,21530,7003,209,14.87
46,Manufacturing,2009,0,49019,0.056,20670,6362,237,15.19
46,Manufacturing,2010,1,43196,0.101,22577,8123,256,21.59
46,Manufacturing,2011,1,63784,0.077,20929,6494,286,20.37
